directory,name of file,Data Source,number of procedure,name of stored procedures,number of Queries
ATR,ATR Granted roles report.rdl, trnBPM,0,,1
ATR,ATRAssetStatusReport.rdl, trnBPM,0,,0
ATR,ATRDetailedReport.rdl, trnBPM,0,,1
ATR,ATRRequestReport.rdl, trnBPM,0,,0
ATR,CPX Finance Steps In Process.rdl, trnBPM,1, eCPX_rptGetCapexInProgress,0
ATR,DATASTREAM_IDLE_ASSETS.rdl, DS1T1,0,,5
ATR,PrintICV.rdl, EBPM_DWH,1, ATR_ruspPrintICV,0
CMF,CMF CatalogReport.rdl, trnBPM,1, CMF_rptCatalogReport,3
CMF,CMF Granted Roles Report.rdl, trnBPM,1, CMF_rptGrantedRolesReport,5
CMF,CMF Productivity Report.rdl, trnBPM,1, CMF_rptAnalystProductivity,0
CMF,CMF Request History.rdl, EBPM_DWH,1, dbo.CMF_ruspRequestHistory,0
CMF,Credit Ageing Report.rdl, trnBPM,1, CMF_rptAgingReport,0
CMF,Credit Analyst Metrics Report.rdl, trnBPM,1, CMF_rptGetAnalystMetrics,0
CMF,Credit Details Report.rdl, trnBPM,1, CMF_rptCreditDetails,0
CMF,Credit Productivity Report.rdl, trnBPM,1, CMF_rptAnalystProductivity,0
CMF,Status Report.rdl, trnBPM,2," CMF_rptStatusReport SELECT   '<ALL>' AS RegionCode,'<ALL>'  AS RegionName 
UNION
SELECT RegionCode, RegionName FROM catRegion where Active = 1 and ParentRegionID IS null ",4
eCPR,CTR Granted Roles.rdl, trnBPM,4, uspGetReportHeaderImage eCTR_ruspGetMeps eCTR_ruspGrantedRoles eCTR_ruspGetRoles,0
eCPR,CTR Status Report.rdl, EBPM_DWH,1, eCTR_ruspStatusReport,0
eCPX,Capex Detailed.rdl, trnBPM,1, eCPX_rptCapexDetailed,0
eCPX,Capex Finance Steps.rdl, trnBPM,0,,0
eCPX,Capex Granted Roles.rdl, trnBPM,1, eCPX_rptGrantedRoles,0
eCPX,Capex In Progress.rdl, trnBPM,1, eCPX_rptGetCapexInProgress,0
eCPX,Capex Lines.rdl, trnBPM,1, eCPX_rptCapExLines,0
eCPX,Capex Status.rdl, trnBPM,2, eCPX_rptCapexStatus eCPX_rptGetBusinessPartners,0
eCPX,Capex Summary.rdl, trnBPM,1, eCPX_rptCapexSummary,0
eCPX,CPX Finance Steps In Process.rdl, trnBPM,1, eCPX_rptGetCapexInProgress,0
eCPX,NIKE Open Capex Requests.rdl, trnBPM,2, eCPX_GetCapexReportSpecial uspGetReportHeaderImage,0
eCPX,PRJ Finance Steps In Process.rdl, trnBPM,1, eCPX_rptGetCapexInProgress,0
eCPX,Projects In Progress.rdl.uuk4g2o.partial, trnBPM,1, eCPX_rptGetCapexInProgress,0
eFX,eFX Approved Business Partner Report.rdl, trnBPM,1, eFX_ruspGetApprovedBusinessPartner,0
